date,group,model_signal,independent_evidence,conflict_type,severity,explanation
2022-01-20,external_environmental,Positive SHAP (+20.75 ug/m3),Heavy Rainfall (13.4 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2022-02-03,external_environmental,Positive SHAP (+15.12 ug/m3),Heavy Rainfall (23.6 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2022-10-16,external_environmental,Positive SHAP (+56.50 ug/m3),Heavy Rainfall (22.5 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2022-11-13,external_environmental,Positive SHAP (+56.94 ug/m3),Heavy Rainfall (22.0 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2023-01-05,external_environmental,Positive SHAP (+104.43 ug/m3),Heavy Rainfall (60.8 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2023-01-21,external_environmental,Positive SHAP (+65.57 ug/m3),Heavy Rainfall (18.2 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2023-11-17,external_environmental,Positive SHAP (+64.85 ug/m3),Heavy Rainfall (17.3 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2023-11-23,external_environmental,Positive SHAP (+121.56 ug/m3),Heavy Rainfall (14.5 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2023-12-12,external_environmental,Positive SHAP (+109.54 ug/m3),Heavy Rainfall (14.4 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2024-01-23,external_environmental,Positive SHAP (+107.59 ug/m3),Heavy Rainfall (18.6 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2024-02-11,external_environmental,Positive SHAP (+7.32 ug/m3),Heavy Rainfall (16.1 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2024-10-12,external_environmental,Positive SHAP (+47.57 ug/m3),Heavy Rainfall (66.0 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2024-12-14,external_environmental,Positive SHAP (+137.17 ug/m3),Heavy Rainfall (36.8 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2024-12-19,external_environmental,Positive SHAP (+98.96 ug/m3),Heavy Rainfall (34.7 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2020-01-24,wind_ventilation,Positive SHAP (+5.58 ug/m3),High Ventilation Index (6453 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-01-28,wind_ventilation,Positive SHAP (+2.44 ug/m3),High Ventilation Index (6320 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-02-12,wind_ventilation,Positive SHAP (+6.05 ug/m3),High Ventilation Index (6241 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-02-18,wind_ventilation,Positive SHAP (+8.62 ug/m3),High Ventilation Index (6591 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-02-19,wind_ventilation,Positive SHAP (+4.27 ug/m3),High Ventilation Index (7780 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-02-20,wind_ventilation,Positive SHAP (+3.16 ug/m3),High Ventilation Index (10308 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-02-21,wind_ventilation,Positive SHAP (+3.03 ug/m3),High Ventilation Index (8665 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-02-23,wind_ventilation,Positive SHAP (+3.63 ug/m3),High Ventilation Index (6481 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-02-28,wind_ventilation,Positive SHAP (+2.86 ug/m3),High Ventilation Index (7671 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-02-29,wind_ventilation,Positive SHAP (+2.98 ug/m3),High Ventilation Index (7960 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-08-06,wind_ventilation,Positive SHAP (+3.37 ug/m3),High Ventilation Index (11332 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-08-07,wind_ventilation,Positive SHAP (+3.84 ug/m3),High Ventilation Index (7364 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-08-22,wind_ventilation,Positive SHAP (+3.74 ug/m3),High Ventilation Index (7303 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-08-23,wind_ventilation,Positive SHAP (+4.23 ug/m3),High Ventilation Index (7106 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-08-30,wind_ventilation,Positive SHAP (+5.99 ug/m3),High Ventilation Index (6720 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2020-08-31,wind_ventilation,Positive SHAP (+4.84 ug/m3),High Ventilation Index (6102 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2021-01-03,wind_ventilation,Positive SHAP (+3.74 ug/m3),High Ventilation Index (6568 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2021-08-11,wind_ventilation,Positive SHAP (+2.26 ug/m3),High Ventilation Index (7456 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2021-08-12,wind_ventilation,Positive SHAP (+2.53 ug/m3),High Ventilation Index (6379 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2021-08-25,wind_ventilation,Positive SHAP (+2.51 ug/m3),High Ventilation Index (8004 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2021-08-26,wind_ventilation,Positive SHAP (+5.21 ug/m3),High Ventilation Index (6226 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2021-09-08,wind_ventilation,Positive SHAP (+5.79 ug/m3),High Ventilation Index (6442 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2021-09-17,wind_ventilation,Positive SHAP (+7.06 ug/m3),High Ventilation Index (6513 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-01-22,wind_ventilation,Positive SHAP (+5.14 ug/m3),High Ventilation Index (8074 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-01-28,wind_ventilation,Positive SHAP (+4.14 ug/m3),High Ventilation Index (6008 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-01-30,wind_ventilation,Positive SHAP (+4.79 ug/m3),High Ventilation Index (6080 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-02-11,wind_ventilation,Positive SHAP (+7.10 ug/m3),High Ventilation Index (7469 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-02-23,wind_ventilation,Positive SHAP (+6.21 ug/m3),High Ventilation Index (10331 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-07-24,wind_ventilation,Positive SHAP (+3.42 ug/m3),High Ventilation Index (8099 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-07-25,wind_ventilation,Positive SHAP (+3.29 ug/m3),High Ventilation Index (7553 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-07-26,wind_ventilation,Positive SHAP (+2.65 ug/m3),High Ventilation Index (6219 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-08-11,wind_ventilation,Positive SHAP (+4.90 ug/m3),High Ventilation Index (6693 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-08-12,wind_ventilation,Positive SHAP (+3.24 ug/m3),High Ventilation Index (8824 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-08-13,wind_ventilation,Positive SHAP (+4.04 ug/m3),High Ventilation Index (6573 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-08-16,wind_ventilation,Positive SHAP (+5.42 ug/m3),High Ventilation Index (8835 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-08-23,wind_ventilation,Positive SHAP (+3.90 ug/m3),High Ventilation Index (9193 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-08-27,wind_ventilation,Positive SHAP (+5.12 ug/m3),High Ventilation Index (6074 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-08-28,wind_ventilation,Positive SHAP (+2.70 ug/m3),High Ventilation Index (6148 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-09-13,wind_ventilation,Positive SHAP (+2.89 ug/m3),High Ventilation Index (8121 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-09-14,wind_ventilation,Positive SHAP (+5.23 ug/m3),High Ventilation Index (7524 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2022-10-03,wind_ventilation,Positive SHAP (+7.28 ug/m3),High Ventilation Index (6109 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2023-01-30,wind_ventilation,Positive SHAP (+2.99 ug/m3),High Ventilation Index (6173 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2023-08-07,wind_ventilation,Positive SHAP (+4.21 ug/m3),High Ventilation Index (6983 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2023-08-08,wind_ventilation,Positive SHAP (+2.62 ug/m3),High Ventilation Index (7480 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2023-08-09,wind_ventilation,Positive SHAP (+2.53 ug/m3),High Ventilation Index (6619 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2023-08-12,wind_ventilation,Positive SHAP (+3.19 ug/m3),High Ventilation Index (6196 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2023-08-17,wind_ventilation,Positive SHAP (+5.21 ug/m3),High Ventilation Index (6465 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2023-08-27,wind_ventilation,Positive SHAP (+4.76 ug/m3),High Ventilation Index (6141 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2023-08-29,wind_ventilation,Positive SHAP (+3.67 ug/m3),High Ventilation Index (6193 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2023-09-02,wind_ventilation,Positive SHAP (+5.32 ug/m3),High Ventilation Index (6272 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2023-09-03,wind_ventilation,Positive SHAP (+2.32 ug/m3),High Ventilation Index (6930 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2023-09-08,wind_ventilation,Positive SHAP (+2.79 ug/m3),High Ventilation Index (6134 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2023-09-09,wind_ventilation,Positive SHAP (+4.97 ug/m3),High Ventilation Index (6220 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2023-09-16,wind_ventilation,Positive SHAP (+5.04 ug/m3),High Ventilation Index (6019 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2024-02-01,wind_ventilation,Positive SHAP (+4.49 ug/m3),High Ventilation Index (6457 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2024-02-18,wind_ventilation,Positive SHAP (+4.40 ug/m3),High Ventilation Index (6176 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2024-02-25,wind_ventilation,Positive SHAP (+3.44 ug/m3),High Ventilation Index (6479 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2024-03-08,wind_ventilation,Positive SHAP (+2.87 ug/m3),High Ventilation Index (6384 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2024-03-09,wind_ventilation,Positive SHAP (+5.50 ug/m3),High Ventilation Index (6040 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2024-08-03,wind_ventilation,Positive SHAP (+2.54 ug/m3),High Ventilation Index (6802 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2024-08-04,wind_ventilation,Positive SHAP (+3.62 ug/m3),High Ventilation Index (7610 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
2024-08-05,wind_ventilation,Positive SHAP (+2.18 ug/m3),High Ventilation Index (10344 m2/s),HIGH_VENTILATION_POSITIVE_SHAP_CONFLICT,LOW,High ventilation coincided with positive wind SHAP due to dust transport or complex wind direction vector.
