feature_name,attribution_group,mapping_reason,confidence,source_registry
temperature_c_roll_min_3d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
humidity_pct_roll_min_3d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
wind_speed_kmh_roll_mean_30d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
wind_speed_kmh_roll_std_7d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_lag_1d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
wind_speed_kmh_roll_var_3d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_roll_max_14d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
wind_speed_kmh_roll_median_3d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_roll_max_3d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
temperature_c_roll_mean_30d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
temperature_c_roll_median_30d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
wind_speed_kmh_roll_std_30d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_roll_median_30d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
wind_speed_kmh_roll_max_14d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_roll_min_7d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
festival_window,calendar_seasonal,Cultural festival and emissions spike window,high,phase3g_production_feature_list
wind_speed_kmh_roll_min_7d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
wind_speed_kmh_roll_max_30d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_roll_mean_7d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
temperature_c_roll_median_14d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
wind_speed_kmh_roll_mean_7d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
wind_speed_kmh_lag_3d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
wind_speed_kmh_roll_mean_14d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
temperature_c_roll_var_3d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
humidity_pct_lag_14d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
temperature_c_roll_max_30d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
temperature_c_roll_std_14d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
humidity_pct_roll_max_7d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
temperature_c_roll_std_30d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
humidity_pct_roll_var_30d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
wind_speed_kmh_roll_std_14d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_roll_min_30d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
wind_speed_kmh_roll_median_30d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_roll_mean_14d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
temperature_c_roll_min_14d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
temperature_c_roll_min_30d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
humidity_pct_roll_median_7d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
humidity_pct_roll_var_3d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
wind_speed_kmh_roll_median_14d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_roll_median_14d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
humidity_pct_roll_mean_30d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
temperature_c_roll_max_3d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
temperature_c_roll_mean_14d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
temperature_c_lag_3d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
humidity_pct_roll_mean_3d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
humidity_pct_roll_std_7d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
temperature_c_roll_var_14d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
temperature_c_lag_2d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
wind_speed_kmh_roll_max_7d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
temperature_c_roll_min_7d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
wind_speed_kmh_roll_var_7d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_roll_std_14d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
humidity_pct_lag_7d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
wind_speed_kmh_roll_min_3d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
temperature_c_lag_1d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
humidity_pct_lag_2d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
humidity_pct_roll_std_3d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
temperature_c_lag_14d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
wind_speed_kmh_lag_14d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_roll_var_7d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
wind_speed_kmh_lag_7d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
temperature_c_lag_7d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
wind_speed_kmh_lag_1d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
temperature_c_roll_max_14d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
wind_speed_kmh_roll_var_14d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_roll_min_14d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
temperature_c_roll_mean_7d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
temperature_c_roll_std_3d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
temperature_c_roll_median_3d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
temperature_c_roll_var_7d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
humidity_pct_roll_var_14d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
temperature_c_roll_max_7d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
wind_speed_kmh_roll_std_3d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_lag_3d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
wind_speed_kmh_roll_min_14d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
wind_speed_kmh_roll_var_30d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_roll_median_3d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
humidity_pct_roll_max_30d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
wind_speed_kmh_roll_min_30d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
humidity_pct_roll_std_30d,meteorology,Relative humidity and secondary inorganic aerosol hydro-swelling,high,phase3g_production_feature_list
wind_speed_kmh_roll_max_3d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
temperature_c_roll_median_7d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
temperature_c_roll_std_7d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
wind_speed_kmh_lag_2d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
temperature_c_roll_var_30d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
wind_speed_kmh_roll_median_7d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
wind_speed_kmh_roll_mean_3d,wind_ventilation,Surface wind speed and atmospheric ventilation dispersion capability,high,phase3g_production_feature_list
temperature_c_roll_mean_3d,meteorology,Ambient temperature and planetary boundary layer inversion dynamics,high,phase3g_production_feature_list
fire_hotspot_count_roll_min_30d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_mean_14d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_min_14d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_var_30d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_min_7d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_mean_30d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_lag_14d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_std_30d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_std_14d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_var_3d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
is_stubble_season,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_max_30d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_lag_2d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_min_3d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_lag_1d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_median_7d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_median_14d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_max_3d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_std_7d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_median_30d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_lag_7d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_std_3d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_max_7d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_median_3d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_mean_7d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_lag_3d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_max_14d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_var_7d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_mean_3d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
fire_hotspot_count_roll_var_14d,biomass_burning,Satellite MODIS/VIIRS upwind fire counts and stubble season indicator,high,phase3g_production_feature_list
